num,capability,domain,type,definition,application,technology,attributes,risk
1,Autonomous Unmanned Underwater Vehicle (UUV),Sea,P,Sea-based sensor platform with little to no human input,Employed to track submarine and surface vessels,"Large Diameter
UUV (LDUUV)","Vantage/ Range, Persistence","Intrusive, Preemptive"
2,Unmanned Underwater Vehicle (UUV) Swarms,Sea,P,Groups of UUVs networked together ,Swarms to specific submarine or surface vessel target (including ports),Aquabotix UUV Swarm,"Persistence, Resiliency/ Reliability","Intrusive, Action-enabling"
3,Unmanned Underwater Vehicle (UUV) Nets,Sea,P,UUVs deployed to passively monitor geographic chokepoints ,Static/slow-moving UUVs deployed to littoral waters/geographical chokepoints to track submarine and surface vessel activity,,"Persistence, Precision","Preemptive, Clandestine"
4,Unmanned Surface Vehicle (USV),Sea,P,Unmanned surface platform capable of being underway for weeks on end ,"Used to patrol, track, and deploy a range of smaller USV and UUV systems",U.S. Navy Autonomous Swarmboats; Aquabotix USV Swarm,"Vantage/ Range, Precision","Intrusive, Vulnerable"
5,"High-altitude, Long Endurance (HALE) UAV",Air,P,Unmanned aerial vehicle with wide range of sensor capabilities,Surveil adversary capabilities at high altitude and maneuverable to lower altitudes  ,"RQ-4, RQ-180","Vantage/Range, Precision","Intrusive, Vulnerable"
6,High-altitude Pseudosatelites,Air,P,Extremely high-altitude UAVs with lengthened wingspan; able to surveil an area of interest for days to weeks ,"Provides long-term, persistent coverage of land and surface targets from over 65k feet in altitude",Airbus Zephyr; Boeing PhantomEye,"Vantage/ Range, Persistence","Intrusive, Vulnerable"
7,Unmanned Aerial Vehicle (UAV) Swarms,Air,P,Groups of UAVs networked together to surveil targets in close proximity,Deployed to surveil land and sea targets at short distance,DARPA Gremlins Program,"Vantage/ Range, Resiliency/ Reliability","Intrusive, Action-enabling"
8,Unmanned Underwater Vehicle (UUV)-Launched Unmanned Aerial Vehicle (UAV),Air;Sea,P,Designed to take aerial images of coastal targets in close proximity,,,"Speed, Precision","Intrusive, Preemptive"
9,Autonomous Unmanned Aerial Vehicle (UAV),Air,P,Next-generation unmanned aircraft with both reconnaissance and war-fighting capabilities,Provides aerial imaging and real-time reconnaissance over land and sea targets,"Predator MQ-1, MQ-9, MQ-X","Vantage/ Range, Precision","Intrusive, Vulnerable, Dual-use"
10,"Manned, Next-Gen Stealth Aircraft",Air,P,Next-generation manned stealth aircraft equipped with optical sensors,Performs high-altitude reconnaissance missions of land and sea targets,Lockheed TR-X,"Speed, (Un)detectability","Intrusive, Dual-use"
11,Smallsat Constellations,Space,P,Small satellites networked together to surveil target,Employs advanced sensors from space to surveil targets ,SensorSat ,"Persistence, Resiliency/ Reliability","Preemptive, Dual-use"
12,Co-Orbital Reconnaissance Satellites,Space,P,Small satellites placed in a similar orbit to their target,"Tracks and monitors space-based adversary capabilities including satellites used for surveillance, communications, and early warning",,"Vantage/Range, Persistence","Dual-use, Clandestine"
13,Quantum Computing,Cyber,P,Computers that take advantage of physics at the quantum level,Enables increasingly rapid data analysis as well as processing power for increasingly autonomous systems,China’s National Laboratory for Quantum Information Science,"Speed, (Un)detectability","Predictive, Action-enabling"
14,Artificial Intelligence (AI) Analysis Applications,Cyber,CE,Computer applications to support human analysts and decisionmakers,Reconciles diverse data streams to rapidly provide pattern recognition and anomaly detection tools to analysts,Project Maven,"Speed, Precision","Predictive, Clandestine  "
